date,city,aqi,temperature,festival,outbreak,patients_admitted
2024-05-08,Delhi,260.0,25.4,,0,223
2024-05-09,Delhi,240.0,23.5,,0,218
2024-05-10,Delhi,85.0,26.3,,0,198
2024-05-11,Delhi,203.0,22.3,,0,173
2024-05-12,Delhi,268.0,23.0,,0,187
2024-05-13,Delhi,154.0,25.8,,0,179
2024-05-14,Delhi,150.0,10.5,,0,201
2024-05-15,Delhi,225.0,52.7,,0,242
2024-05-16,Delhi,322.0,8.5,,0,248
2024-05-17,Delhi,86.0,23.0,,0,172
2024-05-18,Delhi,217.0,35.5,,0,181
2024-05-19,Delhi,318.0,28.9,,0,198
2024-05-20,Delhi,165.0,41.0,,0,201
2024-05-21,Delhi,89.0,35.8,,0,201
2024-05-22,Delhi,202.0,29.4,,0,204
2024-05-23,Delhi,161.0,23.7,,0,190
2024-05-24,Delhi,20.0,34.0,,0,176
2024-05-25,Delhi,127.0,23.9,,0,152
2024-05-26,Delhi,242.0,30.2,,0,167
2024-05-27,Delhi,243.0,23.3,,0,225
2024-05-28,Delhi,222.0,6.7,,0,224
2024-05-29,Delhi,128.0,33.8,,0,386
2024-05-30,Delhi,423.0,15.8,,0,266
2024-05-31,Delhi,169.0,36.8,,0,199
2024-06-01,Delhi,259.0,34.9,,0,164
2024-06-02,Delhi,106.0,33.4,,0,136
2024-06-03,Delhi,184.0,29.5,,0,201
2024-06-04,Delhi,158.0,38.2,,0,202
2024-06-05,Delhi,122.0,33.6,,0,184
2024-06-06,Delhi,136.0,31.2,,0,202
2024-06-07,Delhi,148.0,36.5,,0,179
2024-06-08,Delhi,89.0,13.9,,0,131
2024-06-09,Delhi,44.0,29.0,,0,140
2024-06-10,Delhi,20.0,30.8,,0,179
2024-06-11,Delhi,183.0,33.5,,0,200
2024-06-12,Delhi,137.0,34.0,,0,201
2024-06-13,Delhi,131.0,32.2,,0,188
2024-06-14,Delhi,102.0,29.6,,0,168
2024-06-15,Delhi,142.0,35.6,,0,149
2024-06-16,Delhi,92.0,25.4,,0,135
2024-06-17,Delhi,247.0,36.8,,0,225
2024-06-18,Delhi,320.0,22.8,,0,226
2024-06-19,Delhi,184.0,35.7,,0,206
2024-06-20,Delhi,166.0,31.2,,0,180
2024-06-21,Delhi,154.0,29.4,,0,186
2024-06-22,Delhi,228.0,32.8,,0,170
2024-06-23,Delhi,190.0,19.9,,0,169
2024-06-24,Delhi,129.0,21.1,,0,175
2024-06-25,Delhi,373.0,33.2,,0,248
2024-06-26,Delhi,136.0,20.9,,0,164
2024-06-27,Delhi,152.0,34.0,,0,179
2024-06-28,Delhi,304.0,26.9,,0,215
2024-06-29,Delhi,169.0,18.4,,0,147
2024-06-30,Delhi,226.0,43.7,,2,220
2024-07-01,Delhi,167.0,32.3,,2,229
2024-07-02,Delhi,184.0,18.2,,2,226
2024-07-03,Delhi,85.0,19.9,,2,188
2024-07-04,Delhi,20.0,24.3,,2,208
2024-07-05,Delhi,351.0,24.2,,2,282
2024-07-06,Delhi,138.0,15.6,,2,178
2024-07-07,Delhi,189.0,43.3,,2,185
2024-07-08,Delhi,394.0,41.5,,2,295
2024-07-09,Delhi,146.0,23.0,,2,212
2024-07-10,Delhi,155.0,32.8,,2,211
2024-07-11,Delhi,283.0,29.7,,2,249
2024-07-12,Delhi,252.0,15.6,,2,244
2024-07-13,Delhi,172.0,17.3,,0,132
2024-07-14,Delhi,251.0,36.3,,0,177
2024-07-15,Delhi,239.0,33.5,,0,211
2024-07-16,Delhi,204.0,26.3,,0,182
2024-07-17,Delhi,188.0,22.7,,0,188
2024-07-18,Delhi,240.0,32.6,,0,202
2024-07-19,Delhi,250.0,24.3,,0,213
2024-07-20,Delhi,116.0,35.9,,0,131
2024-07-21,Delhi,183.0,20.5,,0,136
2024-07-22,Delhi,160.0,46.5,,0,165
2024-07-23,Delhi,106.0,41.1,,0,160
2024-07-24,Delhi,318.0,37.0,,0,238
2024-07-25,Delhi,278.0,29.1,,0,208
2024-07-26,Delhi,116.0,42.5,,0,170
2024-07-27,Delhi,136.0,22.8,,0,124
2024-07-28,Delhi,238.0,27.1,,0,179
2024-07-29,Delhi,144.0,37.0,,0,160
2024-07-30,Delhi,91.0,29.0,,0,153
2024-07-31,Delhi,152.0,37.4,,0,183
2024-08-01,Delhi,290.0,26.7,,0,215
2024-08-02,Delhi,166.0,18.7,,0,163
2024-08-03,Delhi,182.0,29.5,,0,145
2024-08-04,Delhi,200.0,19.1,,0,138
2024-08-05,Delhi,64.0,40.7,,0,156
2024-08-06,Delhi,106.0,26.8,,0,162
2024-08-07,Delhi,122.0,29.1,,0,174
2024-08-08,Delhi,273.0,32.8,,0,204
2024-08-09,Delhi,171.0,29.4,,0,178
2024-08-10,Delhi,182.0,24.1,,1,158
2024-08-11,Delhi,68.0,18.4,,1,140
2024-08-12,Delhi,167.0,32.5,,1,186
2024-08-13,Delhi,172.0,34.5,,1,183
2024-08-14,Delhi,178.0,23.2,,1,185
2024-08-15,Delhi,145.0,28.6,Independence Day,1,196
2024-08-16,Delhi,149.0,27.8,,1,182
2024-08-17,Delhi,20.0,21.5,,1,138
2024-08-18,Delhi,239.0,28.9,,1,161
2024-08-19,Delhi,217.0,32.2,,1,199
2024-08-20,Delhi,268.0,21.0,,1,210
2024-08-21,Delhi,20.0,33.7,,1,166
2024-08-22,Delhi,35.0,12.2,,1,156
2024-08-23,Delhi,233.0,23.8,,1,196
2024-08-24,Delhi,90.0,17.7,,1,113
2024-08-25,Delhi,73.0,17.5,,1,134
2024-08-26,Delhi,157.0,19.4,Janmashtami,1,211
2024-08-27,Delhi,224.0,16.9,,1,202
2024-08-28,Delhi,183.0,29.8,,1,189
2024-08-29,Delhi,366.0,20.6,,1,237
2024-08-30,Delhi,120.0,21.2,,1,162
2024-08-31,Delhi,265.0,36.9,,1,180
2024-09-01,Delhi,103.0,29.3,,1,124
2024-09-02,Delhi,221.0,27.0,,0,170
2024-09-03,Delhi,294.0,39.7,,0,209
2024-09-04,Delhi,217.0,29.6,,0,189
2024-09-05,Delhi,156.0,18.8,,0,169
2024-09-06,Delhi,94.0,18.4,,0,145
2024-09-07,Delhi,129.0,26.8,,0,93
2024-09-08,Delhi,100.0,34.6,,0,115
2024-09-09,Delhi,225.0,39.6,,0,192
2024-09-10,Delhi,194.0,32.2,,0,176
2024-09-11,Delhi,236.0,28.7,,0,193
2024-09-12,Delhi,293.0,19.4,,0,206
2024-09-13,Delhi,157.0,25.7,,0,155
2024-09-14,Delhi,210.0,27.7,,0,147
2024-09-15,Delhi,185.0,24.7,,0,143
2024-09-16,Delhi,62.0,36.2,,0,152
2024-09-17,Delhi,190.0,36.8,,0,187
2024-09-18,Delhi,55.0,25.5,,0,147
2024-09-19,Delhi,256.0,15.8,,0,176
2024-09-20,Delhi,247.0,20.0,,0,189
2024-09-21,Delhi,125.0,26.8,,0,117
2024-09-22,Delhi,20.0,29.6,,0,119
2024-09-23,Delhi,54.0,6.0,,0,157
2024-09-24,Delhi,249.0,32.5,,0,198
2024-09-25,Delhi,222.0,22.7,,0,170
2024-09-26,Delhi,303.0,30.6,,0,202
2024-09-27,Delhi,70.0,34.8,,0,147
2024-09-28,Delhi,168.0,25.4,,0,129
2024-09-29,Delhi,216.0,26.7,,0,138
2024-09-30,Delhi,196.0,33.0,,0,176
2024-10-01,Delhi,146.0,37.4,,0,158
2024-10-02,Delhi,199.0,10.1,Gandhi Jayanti,0,208
2024-10-03,Delhi,178.0,22.6,,0,163
2024-10-04,Delhi,20.0,10.0,,0,149
2024-10-05,Delhi,230.0,26.4,,1,164
2024-10-06,Delhi,107.0,34.6,,1,135
2024-10-07,Delhi,182.0,22.7,,1,185
2024-10-08,Delhi,37.0,20.4,,1,153
2024-10-09,Delhi,120.0,20.0,,1,179
2024-10-10,Delhi,251.0,17.6,,1,208
2024-10-11,Delhi,312.0,29.5,,1,222
2024-10-12,Delhi,148.0,27.6,Dussehra,1,173
2024-10-13,Delhi,154.0,30.7,,1,143
2024-10-14,Delhi,276.0,20.3,,1,222
2024-10-15,Delhi,232.0,39.3,,1,204
2024-10-16,Delhi,216.0,13.5,,1,190
2024-10-17,Delhi,249.0,30.7,,1,228
2024-10-18,Delhi,192.0,14.1,,1,193
2024-10-19,Delhi,110.0,26.0,,1,125
2024-10-20,Delhi,217.0,30.2,,0,146
2024-10-21,Delhi,275.0,28.3,,0,187
2024-10-22,Delhi,83.0,23.1,,0,153
2024-10-23,Delhi,192.0,35.5,,0,177
2024-10-24,Delhi,271.0,26.4,,0,183
2024-10-25,Delhi,243.0,11.0,,0,183
2024-10-26,Delhi,232.0,25.0,,0,154
2024-10-27,Delhi,226.0,18.6,,0,154
2024-10-28,Delhi,170.0,27.0,,0,144
2024-10-29,Delhi,108.0,23.4,,0,138
2024-10-30,Delhi,293.0,17.0,,0,207
2024-10-31,Delhi,76.0,18.5,,0,147
2024-11-01,Delhi,147.0,28.6,Diwali,0,214
2024-11-02,Delhi,370.0,27.3,,0,201
2024-11-03,Delhi,348.0,30.2,,0,187
2024-11-04,Delhi,332.0,22.3,,0,214
2024-11-05,Delhi,206.0,20.7,,0,173
2024-11-06,Delhi,309.0,19.7,,0,205
2024-11-07,Delhi,251.0,21.4,,0,196
2024-11-08,Delhi,330.0,-3.0,,0,223
2024-11-09,Delhi,282.0,12.6,,0,174
2024-11-10,Delhi,200.0,35.4,,0,155
2024-11-11,Delhi,177.0,19.8,,0,188
2024-11-12,Delhi,266.0,28.4,,3,260
2024-11-13,Delhi,310.0,26.6,,3,287
2024-11-14,Delhi,171.0,16.4,,3,218
2024-11-15,Delhi,324.0,17.2,Guru Nanak Jayanti,3,299
2024-11-16,Delhi,274.0,13.5,,3,235
2024-11-17,Delhi,239.0,16.8,,3,224
2024-11-18,Delhi,224.0,27.3,,3,256
2024-11-19,Delhi,143.0,28.5,,3,212
2024-11-20,Delhi,344.0,35.8,,3,298
2024-11-21,Delhi,77.0,28.1,,3,229
2024-11-22,Delhi,226.0,19.2,,3,240
2024-11-23,Delhi,275.0,29.6,,3,235
2024-11-24,Delhi,501.0,19.7,,3,285
2024-11-25,Delhi,264.0,0.1,,3,269
2024-11-26,Delhi,380.0,22.0,,3,298
2024-11-27,Delhi,396.0,17.2,,3,312
2024-11-28,Delhi,260.0,22.4,,3,252
2024-11-29,Delhi,211.0,8.1,,3,254
2024-11-30,Delhi,281.0,10.4,,3,250
2024-12-01,Delhi,272.0,19.7,,3,237
2024-12-02,Delhi,184.0,20.5,,0,174
2024-12-03,Delhi,375.0,10.7,,0,238
2024-12-04,Delhi,207.0,23.3,,0,183
2024-12-05,Delhi,292.0,18.0,,0,220
2024-12-06,Delhi,213.0,28.3,,0,192
2024-12-07,Delhi,430.0,29.7,,0,223
2024-12-08,Delhi,213.0,10.4,,0,158
2024-12-09,Delhi,371.0,12.2,,0,230
2024-12-10,Delhi,285.0,26.2,,0,208
2024-12-11,Delhi,285.0,9.9,,0,218
2024-12-12,Delhi,244.0,27.8,,0,197
2024-12-13,Delhi,175.0,13.4,,0,176
2024-12-14,Delhi,309.0,8.2,,0,189
2024-12-15,Delhi,195.0,32.4,,0,159
2024-12-16,Delhi,387.0,15.7,,1,263
2024-12-17,Delhi,207.0,6.0,,1,220
2024-12-18,Delhi,162.0,13.3,,1,189
2024-12-19,Delhi,234.0,12.9,,1,216
2024-12-20,Delhi,200.0,24.6,,1,214
2024-12-21,Delhi,259.0,22.7,,1,204
2024-12-22,Delhi,156.0,9.1,,1,169
2024-12-23,Delhi,406.0,16.9,,1,283
2024-12-24,Delhi,258.0,13.6,,1,217
2024-12-25,Delhi,300.0,11.7,Christmas,1,263
2024-12-26,Delhi,191.0,28.9,,1,214
2024-12-27,Delhi,299.0,10.3,,1,236
2024-12-28,Delhi,347.0,20.2,,1,235
2024-12-29,Delhi,281.0,20.6,,1,194
2024-12-30,Delhi,261.0,17.9,,1,234
2024-12-31,Delhi,327.0,12.8,,1,238
2025-01-01,Delhi,103.0,23.2,New Year,1,254
2025-01-02,Delhi,159.0,25.8,,1,199
2025-01-03,Delhi,270.0,19.1,,1,229
2025-01-04,Delhi,287.0,15.7,,1,209
2025-01-05,Delhi,295.0,24.0,,0,184
2025-01-06,Delhi,231.0,9.7,,0,210
2025-01-07,Delhi,252.0,19.2,,0,212
2025-01-08,Delhi,266.0,39.0,,0,224
2025-01-09,Delhi,251.0,8.8,,0,218
2025-01-10,Delhi,171.0,23.4,,0,190
2025-01-11,Delhi,255.0,3.6,,0,189
2025-01-12,Delhi,187.0,23.7,,0,147
2025-01-13,Delhi,233.0,31.4,,0,205
2025-01-14,Delhi,217.0,16.5,,0,200
2025-01-15,Delhi,219.0,20.9,,0,194
2025-01-16,Delhi,323.0,23.5,,0,256
2025-01-17,Delhi,141.0,17.8,,0,193
2025-01-18,Delhi,225.0,26.7,,1,191
2025-01-19,Delhi,206.0,22.8,,1,168
2025-01-20,Delhi,265.0,19.6,,1,241
2025-01-21,Delhi,260.0,12.0,,1,245
2025-01-22,Delhi,237.0,19.6,,1,222
2025-01-23,Delhi,215.0,12.8,,1,221
2025-01-24,Delhi,387.0,8.9,,1,269
2025-01-25,Delhi,368.0,18.3,,1,225
2025-01-26,Delhi,333.0,15.2,,1,234
2025-01-27,Delhi,304.0,16.1,,1,268
2025-01-28,Delhi,202.0,26.0,,1,223
2025-01-29,Delhi,354.0,32.6,,1,267
2025-01-30,Delhi,190.0,23.9,,1,212
2025-01-31,Delhi,411.0,21.4,,1,282
2025-02-01,Delhi,265.0,9.5,,1,200
2025-02-02,Delhi,346.0,15.1,,1,217
2025-02-03,Delhi,293.0,29.9,,1,256
2025-02-04,Delhi,330.0,14.5,,1,250
2025-02-05,Delhi,370.0,18.0,,1,272
2025-02-06,Delhi,356.0,25.1,,1,274
2025-02-07,Delhi,423.0,15.5,,1,298
2025-02-08,Delhi,255.0,22.9,,1,212
2025-02-09,Delhi,291.0,25.1,,1,219
2025-02-10,Delhi,221.0,14.2,,1,222
2025-02-11,Delhi,93.0,37.4,,1,193
2025-02-12,Delhi,232.0,18.8,,1,237
2025-02-13,Delhi,315.0,28.0,,1,255
2025-02-14,Delhi,237.0,23.4,,0,219
2025-02-15,Delhi,379.0,25.2,,0,229
2025-02-16,Delhi,167.0,25.3,,0,163
2025-02-17,Delhi,198.0,17.2,,0,215
2025-02-18,Delhi,290.0,27.2,,0,240
2025-02-19,Delhi,458.0,26.1,,0,275
2025-02-20,Delhi,276.0,28.8,,0,234
2025-02-21,Delhi,152.0,20.0,,0,191
2025-02-22,Delhi,271.0,10.6,,0,183
2025-02-23,Delhi,286.0,31.4,,0,192
2025-02-24,Delhi,134.0,13.1,,0,199
2025-02-25,Delhi,220.0,35.8,,0,223
2025-02-26,Delhi,114.0,33.7,,0,175
2025-02-27,Delhi,351.0,17.7,,0,279
2025-02-28,Delhi,260.0,16.7,,0,248
2025-03-01,Delhi,297.0,30.5,,0,206
2025-03-02,Delhi,199.0,32.9,,0,171
2025-03-03,Delhi,164.0,28.0,,0,211
2025-03-04,Delhi,20.0,29.0,,0,179
2025-03-05,Delhi,51.0,22.0,,0,184
2025-03-06,Delhi,215.0,27.3,,0,229
2025-03-07,Delhi,247.0,21.0,,0,221
2025-03-08,Delhi,296.0,7.4,,0,205
2025-03-09,Delhi,110.0,24.1,,0,132
2025-03-10,Delhi,283.0,21.5,,0,244
2025-03-11,Delhi,157.0,13.8,,0,180
2025-03-12,Delhi,216.0,20.2,,0,234
2025-03-13,Delhi,163.0,18.5,,0,209
2025-03-14,Delhi,232.0,18.8,Holi,0,284
2025-03-15,Delhi,129.0,26.3,,0,151
2025-03-16,Delhi,273.0,17.1,,0,192
2025-03-17,Delhi,199.0,24.5,,0,207
2025-03-18,Delhi,259.0,21.5,,2,278
2025-03-19,Delhi,170.0,28.2,,2,252
2025-03-20,Delhi,233.0,23.9,,2,265
2025-03-21,Delhi,144.0,19.5,,2,226
2025-03-22,Delhi,225.0,23.0,,2,210
2025-03-23,Delhi,187.0,27.9,,2,221
2025-03-24,Delhi,281.0,6.0,,2,286
2025-03-25,Delhi,314.0,13.6,,2,291
2025-03-26,Delhi,181.0,33.6,,2,249
2025-03-27,Delhi,129.0,22.9,,2,230
2025-03-28,Delhi,190.0,33.6,,2,242
2025-03-29,Delhi,280.0,22.3,,2,235
2025-03-30,Delhi,206.0,24.6,Eid,2,225
2025-03-31,Delhi,197.0,25.9,,2,260
2025-04-01,Delhi,264.0,31.4,,2,263
2025-04-02,Delhi,237.0,37.7,,2,274
2025-04-03,Delhi,346.0,41.3,,2,303
2025-04-04,Delhi,144.0,19.1,,2,223
2025-04-05,Delhi,159.0,34.9,,2,179
2025-04-06,Delhi,117.0,24.3,,2,178
2025-04-07,Delhi,158.0,21.3,,2,237
2025-04-08,Delhi,142.0,19.0,,2,242
2025-04-09,Delhi,284.0,14.6,,2,255
2025-04-10,Delhi,285.0,15.9,,2,279
2025-04-11,Delhi,75.0,36.1,,2,249
2025-04-12,Delhi,215.0,25.1,,2,211
2025-04-13,Delhi,263.0,30.5,,0,201
2025-04-14,Delhi,150.0,28.7,,0,197
2025-04-15,Delhi,199.0,28.5,,0,209
2025-04-16,Delhi,294.0,19.3,,0,247
2025-04-17,Delhi,160.0,30.7,,0,208
2025-04-18,Delhi,181.0,28.6,,0,207
2025-04-19,Delhi,222.0,32.2,,0,186
2025-04-20,Delhi,155.0,27.0,,0,168
2025-04-21,Delhi,152.0,39.7,,0,204
2025-04-22,Delhi,249.0,17.5,,0,246
2025-04-23,Delhi,264.0,31.6,,0,231
2025-04-24,Delhi,224.0,19.4,,0,227
2025-04-25,Delhi,182.0,22.1,,0,205
2025-04-26,Delhi,103.0,38.6,,0,148
2025-04-27,Delhi,255.0,22.2,,0,192
2025-04-28,Delhi,260.0,24.0,,0,224
2025-04-29,Delhi,154.0,16.5,,0,211
2025-04-30,Delhi,170.0,24.2,,0,205
2025-05-01,Delhi,231.0,21.7,,0,228
2025-05-02,Delhi,271.0,35.3,,0,258
2025-05-03,Delhi,376.0,31.6,,0,222
2025-05-04,Delhi,177.0,26.5,,1,178
2025-05-05,Delhi,264.0,14.6,,1,239
2025-05-06,Delhi,115.0,35.2,,1,223
2025-05-07,Delhi,192.0,26.3,,1,226
2025-05-08,Delhi,293.0,20.3,,1,258
2025-05-09,Delhi,278.0,31.7,,1,252
2025-05-10,Delhi,280.0,6.2,,1,223
2025-05-11,Delhi,148.0,13.2,,1,174
2025-05-12,Delhi,310.0,26.8,,1,267
2025-05-13,Delhi,329.0,38.5,,1,286
2025-05-14,Delhi,259.0,28.6,,1,231
2025-05-15,Delhi,180.0,21.3,,1,238
2025-05-16,Delhi,186.0,29.1,,1,226
2025-05-17,Delhi,203.0,41.7,,1,190
2025-05-18,Delhi,216.0,22.3,,1,178
2025-05-19,Delhi,151.0,28.0,,1,207
2025-05-20,Delhi,,17.0,,1,207
2025-05-21,Delhi,80.0,34.4,,1,195
2025-05-22,Delhi,83.0,25.9,,1,188
2025-05-23,Delhi,226.0,39.1,,1,225
2025-05-24,Delhi,209.0,27.2,,1,191
2025-05-25,Delhi,217.0,22.5,,1,185
2025-05-26,Delhi,136.0,37.1,,1,211
2025-05-27,Delhi,352.0,28.1,,1,263
2025-05-28,Delhi,79.0,14.2,,1,180
2025-05-29,Delhi,221.0,32.7,,1,216
2025-05-30,Delhi,272.0,24.8,,0,229
2025-05-31,Delhi,329.0,35.9,,0,205
2025-06-01,Delhi,20.0,21.6,,0,134
2025-06-02,Delhi,159.0,29.4,,0,198
2025-06-03,Delhi,157.0,38.6,,0,210
2025-06-04,Delhi,162.0,29.0,,0,195
2025-06-05,Delhi,231.0,31.9,,0,219
2025-06-06,Delhi,79.0,29.7,,1,183
2025-06-07,Delhi,162.0,35.3,,1,173
2025-06-08,Delhi,124.0,33.8,,1,167
2025-06-09,Delhi,159.0,27.6,,1,201
2025-06-10,Delhi,146.0,37.6,,1,210
2025-06-11,Delhi,106.0,31.0,,1,198
2025-06-12,Delhi,125.0,18.3,,1,212
2025-06-13,Delhi,60.0,26.1,,1,189
2025-06-14,Delhi,148.0,28.4,,1,167
2025-06-15,Delhi,20.0,18.8,,0,133
2025-06-16,Delhi,138.0,30.0,,0,181
2025-06-17,Delhi,204.0,10.2,,1,219
2025-06-18,Delhi,259.0,19.5,,1,220
2025-06-19,Delhi,272.0,44.1,,1,243
2025-06-20,Delhi,166.0,19.8,,1,204
2025-06-21,Delhi,132.0,28.2,,1,158
2025-06-22,Delhi,82.0,26.1,,1,131
2025-06-23,Delhi,142.0,28.2,,1,198
2025-06-24,Delhi,189.0,36.2,,1,204
2025-06-25,Delhi,51.0,33.2,,1,166
2025-06-26,Delhi,185.0,19.5,,1,220
2025-06-27,Delhi,190.0,27.2,,1,219
2025-06-28,Delhi,85.0,22.0,,1,133
2025-06-29,Delhi,101.0,29.4,,1,147
2025-06-30,Delhi,247.0,14.3,,1,223
2025-07-01,Delhi,81.0,27.3,,1,199
2025-07-02,Delhi,193.0,36.1,,1,230
2025-07-03,Delhi,260.0,25.3,,1,217
2025-07-04,Delhi,168.0,24.3,,0,172
2025-07-05,Delhi,189.0,31.0,,0,167
2025-07-06,Delhi,195.0,25.7,,0,149
2025-07-07,Delhi,240.0,27.8,,0,196
2025-07-08,Delhi,260.0,28.4,,0,199
